epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,46.1148,1.03966,7.235,1.89426,1.28977,0.68713,0.68545,0.77036,0.543,0,0,0,0,1.67335,5.14543,1.3782,1.38123,2.40837e-05,2.40837e-05,2.40837e-05
30,47.4632,1.14598,6.65453,2.84767,1.49992,0.68713,0.68545,0.77036,0.543,0,0,0,0,1.67335,5.14543,1.3782,1.38123,2.46022e-05,2.46022e-05,2.46022e-05
31,48.9588,0.92777,7.52253,1.90572,1.23917,0.65465,0.68333,0.76757,0.52569,0,0,0,0,1.6633,5.14646,1.39904,1.37763,2.50971e-05,2.50971e-05,2.50971e-05
32,50.3604,0.71482,6.80181,1.4921,1.08418,0.65465,0.68333,0.76757,0.52569,0,0,0,0,1.6633,5.14646,1.39904,1.37763,2.55685e-05,2.55685e-05,2.55685e-05
33,51.7418,0.74088,6.91156,1.93672,1.1874,0.66431,0.68333,0.76756,0.52584,0,0,0,0,1.62717,5.14841,1.44159,1.36505,2.60163e-05,2.60163e-05,2.60163e-05
34,53.0778,0.9027,6.90772,1.58336,1.19349,0.66431,0.68333,0.76756,0.52584,0,0,0,0,1.62717,5.14841,1.44159,1.36505,2.64405e-05,2.64405e-05,2.64405e-05
35,54.4762,0.79827,6.14526,2.57079,1.26729,0.70512,0.68927,0.77012,0.52702,0,0,0,0,1.61668,5.14911,1.4772,1.35748,2.68412e-05,2.68412e-05,2.68412e-05
36,55.8436,0.95112,6.3208,1.76018,1.21539,0.70512,0.68927,0.77012,0.52702,0,0,0,0,1.61668,5.14911,1.4772,1.35748,2.72183e-05,2.72183e-05,2.72183e-05
37,57.2176,0.6755,6.84685,1.45519,1.08299,0.7343,0.6,0.77064,0.54384,0.65819,0.16667,0.16583,0.01658,1.6136,5.14967,1.51498,1.35714,2.75718e-05,2.75718e-05,2.75718e-05
38,58.5546,0.44386,6.9374,0.99742,0.95163,0.7343,0.6,0.77064,0.54384,0.65819,0.16667,0.16583,0.01658,1.6136,5.14967,1.51498,1.35714,2.79018e-05,2.79018e-05,2.79018e-05
39,59.9644,0.71128,7.02789,1.32932,1.03681,0.73591,0.59904,0.77009,0.52012,0.65793,0.16667,0.16583,0.01658,1.62226,5.15067,1.58187,1.36679,2.82082e-05,2.82082e-05,2.82082e-05
40,61.3205,0.69412,6.47142,1.2307,1.07887,0.73591,0.59904,0.77009,0.52012,0.65793,0.16667,0.16583,0.01658,1.62226,5.15067,1.58187,1.36679,2.84911e-05,2.84911e-05,2.84911e-05
41,62.7262,0.72638,6.65996,1.25005,1.047,0.72479,0.66615,0.72768,0.48407,0.65727,0.16667,0.16583,0.01658,1.62791,5.1545,1.63489,1.38033,2.87504e-05,2.87504e-05,2.87504e-05
42,64.1226,0.76474,6.36012,1.97968,1.16276,0.72479,0.66615,0.72768,0.48407,0.65727,0.16667,0.16583,0.01658,1.62791,5.1545,1.63489,1.38033,2.89861e-05,2.89861e-05,2.89861e-05
43,65.5118,0.79684,6.20216,1.65166,1.12909,0.68478,0.66507,0.72896,0.47289,0.69044,0.18333,0.18214,0.01821,1.62207,5.15562,1.70101,1.3793,2.91983e-05,2.91983e-05,2.91983e-05
